ID,COD_PLAN,ANHO,ANHO_SIES,PLAN_NOMBRE,JORNADA_USACH,JORNADA_SIES,ESTADO_JORNADA,LLAVE,SIES,SIES_CAR,LLAVE_SIES,PROGRAMA_SIES,OBSERVACIÓN,COD_PLAN2,COD_CARRERA,Nombre_carrera,REPLICA_COD_SIES,DURACIÓN,DURACION_TOTAL,COD_DEPTO_2,COD_FAC_,depto,FACULTAD_,COD_FAC,FACULTAD,COD_DEPTO_2_CR,nombre_depto_cr,comparacion_cod_depto,ANHO_PLAN
2019-1861,1861,2019,2019-I71S1C14J1V1,INGENIERIA CIVIL EN ELECTRICIDAD,1,1,OK,18612019,I71S1C14J1V1,I71S1C14J,2019I71S1C14J1V1,INGENIERIA CIVIL EN ELECTRICIDAD,SIN OBSERVACIONES,1861,ICELEC,INGENIERÍA CIVIL EN ELECTRICIDAD,I71S1C14J1V1,12,12,41,40,DPTO DE INGENIERÍA ELÉCTRICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,41,Departamento de Ingeniería Eléctrica,TRUE,2019-1861
2019-1961,1961,2019,2019-I71S1C14J1V1,INGENIERIA CIVIL EN ELECTRICIDAD,1,1,OK,19612019,I71S1C14J1V1,I71S1C14J,2019I71S1C14J1V1,INGENIERIA CIVIL EN ELECTRICIDAD,SIN OBSERVACIONES,1961,ICELEC,INGENIERÍA CIVIL EN ELECTRICIDAD,I71S1C14J1V1,12,12,41,40,DPTO DE INGENIERÍA ELÉCTRICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,41,Departamento de Ingeniería Eléctrica,TRUE,2019-1961
2019-1362,1362,2019,2019-I71S1C15J1V1,INGENIERIA CIVIL EN GEOGRAFIA,1,1,OK,13622019,I71S1C15J1V1,I71S1C15J,2019I71S1C15J1V1,INGENIERIA CIVIL EN GEOGRAFIA,SIN OBSERVACIONES,1362,ICGEOG,INGENIERÍA CIVIL EN GEOGRAFÍA,I71S1C15J1V1,12,12,43,40,DPTO DE INGENIERÍA GEOGRÁFICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,43,Departamento de Ingeniería Geoespacial y Ambiental,TRUE,2019-1362
2019-1862,1862,2019,2019-I71S1C15J1V1,INGENIERIA CIVIL EN GEOGRAFIA,1,1,OK,18622019,I71S1C15J1V1,I71S1C15J,2019I71S1C15J1V1,INGENIERIA CIVIL EN GEOGRAFIA,SIN OBSERVACIONES,1862,ICGEOG,INGENIERÍA CIVIL EN GEOGRAFÍA,I71S1C15J1V1,12,12,43,40,DPTO DE INGENIERÍA GEOGRÁFICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,43,Departamento de Ingeniería Geoespacial y Ambiental,TRUE,2019-1862
2019-1363,1363,2019,2019-I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,1,1,OK,13632019,I71S1C16J1V1,I71S1C16J,2019I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,SIN OBSERVACIONES,1363,ICINF,INGENIERÍA CIVIL EN INFORMÁTICA,I71S1C16J1V1,12,12,45,40,DPTO DE INGENIERÍA INFORMÁTICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,45,Departamento de Ingeniería Informática,TRUE,2019-1363
2019-1463,1463,2019,2019-I71S1C16J1V2,INGENIERIA CIVIL EN INFORMATICA,1,1,OK,14632019,I71S1C16J1V2,I71S1C16J,2020I71S1C16J1V2,INGENIERIA CIVIL EN INFORMATICA,APARECE EN MU 2021,1463,ICINF,INGENIERÍA CIVIL EN INFORMÁTICA,I71S1C16J1V2,11,11,45,40,DPTO DE INGENIERÍA INFORMÁTICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,45,Departamento de Ingeniería Informática,TRUE,2019-1463
2019-1863,1863,2019,2019-I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,1,1,OK,18632019,I71S1C16J1V1,I71S1C16J,2019I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,SIN OBSERVACIONES,1863,ICINF,INGENIERÍA CIVIL EN INFORMÁTICA,I71S1C16J1V1,12,12,45,40,DPTO DE INGENIERÍA INFORMÁTICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,45,Departamento de Ingeniería Informática,TRUE,2019-1863
2019-1963,1963,2019,2019-I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,1,1,OK,19632019,I71S1C16J1V1,I71S1C16J,2019I71S1C16J1V1,INGENIERIA CIVIL EN INFORMATICA,SIN OBSERVACIONES,1963,ICINF,INGENIERÍA CIVIL EN INFORMÁTICA,I71S1C16J1V1,12,12,45,40,DPTO DE INGENIERÍA INFORMÁTICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,45,Departamento de Ingeniería Informática,TRUE,2019-1963
2019-1365,1365,2019,2019-I71S1C20J1V1,INGENIERIA CIVIL EN MECANICA,1,1,OK,13652019,I71S1C20J1V1,I71S1C20J,2019I71S1C20J1V1,INGENIERIA CIVIL EN MECANICA,SIN OBSERVACIONES,1365,ICMEC,INGENIERÍA CIVIL EN MECÁNICA,I71S1C20J1V1,12,12,44,40,DPTO DE INGENIERÍA MECÁNICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,44,Departamento de Ingeniería Mecánica,TRUE,2019-1365
2019-1865,1865,2019,2019-I71S1C20J1V1,INGENIERIA CIVIL EN MECANICA,1,1,OK,18652019,I71S1C20J1V1,I71S1C20J,2019I71S1C20J1V1,INGENIERIA CIVIL EN MECANICA,SIN OBSERVACIONES,1865,ICMEC,INGENIERÍA CIVIL EN MECÁNICA,I71S1C20J1V1,12,12,44,40,DPTO DE INGENIERÍA MECÁNICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,44,Departamento de Ingeniería Mecánica,TRUE,2019-1865
2019-1066,1066,2019,2019-I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,1,1,OK,10662019,I71S1C21J1V1,I71S1C21J,2019I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,SIN OBSERVACIONES,1066,ICMET,INGENIERÍA CIVIL EN METALURGIA,I71S1C21J1V1,12,12,42,40,DPTO DE INGENIERÍA METALÚRGICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,42,Departamento de Ingeniería Metalurgica,TRUE,2019-1066
2019-1366,1366,2019,2019-I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,1,1,OK,13662019,I71S1C21J1V1,I71S1C21J,2019I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,SIN OBSERVACIONES,1366,ICMET,INGENIERÍA CIVIL EN METALURGIA,I71S1C21J1V1,12,12,42,40,DPTO DE INGENIERÍA METALÚRGICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,42,Departamento de Ingeniería Metalurgica,TRUE,2019-1366
2019-1866,1866,2019,2019-I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,1,1,OK,18662019,I71S1C21J1V1,I71S1C21J,2019I71S1C21J1V1,INGENIERIA CIVIL EN METALURGIA,SIN OBSERVACIONES,1866,ICMET,INGENIERÍA CIVIL EN METALURGIA,I71S1C21J1V1,12,12,42,40,DPTO DE INGENIERÍA METALÚRGICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,42,Departamento de Ingeniería Metalurgica,TRUE,2019-1866
