Año;Código Único;Tipo Institución 1;Tipo Institución 2;Tipo Institución 3;Región Sede;Provincia Sede;Comuna Sede;Área del conocimiento;Cine-F 97 Área;Cine-F 97 Subárea;Área Carrera Genérica;Cine-F 13 Área;Cine-F 13 Subárea;Tipo de institución;Código IES;Nombre IES;Código Sede;Nombre Sede;Código Carrera;Nombre Carrera;Modalidad;Jornada;Versión;Tipo Carrera;Plan Especial;Duración Estudios;Duración Titulación;Duración Total;Régimen;Duración formal del Régimen;Nombre Título;Grado Académico;Nivel Global;Nivel Carrera;Demre;Año Inicio;Acreditación Carrera o Programa;Elegibilidad Beca Pedagogía;"Pedagogía Medicina Odontología, Otro";Requisito Ingreso;Semestres reconocidos;Área Actual o Área Origen del programa;Área destino de Administración de Empresas y Derecho;"Área destino de Agricultura, Silvicultura, Pesca y Veterinaria";Área destino de Artes y Humanidades;"Área destino de Ciencias naturales, matemáticas y estadística";"Área destino de Ciencias Sociales, Periodismo e Información";Área destino de Educación;"Área destino de Ingeniería, Industria y Construcción";Área destino de Salud y Bienestar;Área destino de Servicios;Área destino de Tecnología de la Información y la Comunicación (TIC);Ponderación Notas;Ponderación Ranking Notas;Ponderación Lenguaje;Ponderación Matemáticas;Ponderación Matemáticas 2;Ponderación Historia;Ponderación Ciencias;Ponderación Otros;Vacantes Semestre Uno;Vacantes Semestre Dos;Formato Valor;Matrícula Anual;Costo Titulación;Costo Certificado Diploma;Arancel Anual;Vigencia
OFE_2015;I71S1C27J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Básicas;Ciencias;Ciencias Físicas;Ingeniería en Geomensura y Cartografía;"Ciencias naturales, matemáticas y estadística";Ciencias Físicas;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);27;INGENIERIA DE EJECUCION EN GEOMENSURA;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN GEOMENSURA;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16012;1971;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;45;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C28J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Ingeniería en Metalurgia;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);28;INGENIERIA DE EJECUCION EN METALURGIA;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN METALURGIA;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16016;1973;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;45;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C29J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;Ingeniería en Minas;"Ingeniería, Industria y Construcción";Industria y Producción;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);29;INGENIERIA DE EJECUCION EN MINAS;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN MINAS;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16017;1976;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;60;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C2J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Sociales;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Administración Pública;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);2;ADMINISTRACION PUBLICA;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;ADMINISTRADOR PUBLICO;LICENCIADO EN CIENCIAS DE LA ADMINISTRACION PUBLICA;Pregrado;Profesional Con Licenciatura;16034;1992;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;15;25;;10;10;0;160;0;;60000;0;;2806000;Vigente con estudiantes nuevos
OFE_2015;I71S1C2J2V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Sociales;"Ciencias Sociales, Enseñanza Comercial y Derecho";Enseñanza Comercial y Administración;Administración Pública;Administración de Empresas y Derecho;Educación Comercial y Administración;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);2;P/E ADMINISTRACION PUBLICA;Presencial;Vespertina;1;Plan Especial;TITULADOS;6;1;6;;;ADMINISTRADOR PUBLICO;LICENCIADO EN CIENCIAS DE LA ADMINISTRACION PUBLICA;Pregrado;Profesional Con Licenciatura;0;1998;No Acreditada;No Elegible;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;;60000;0;;2806000;Vigente con estudiantes nuevos
OFE_2015;I71S1C30J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Ingeniería en Química;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);30;INGENIERIA DE EJECUCION EN QUIMICA;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN QUIMICA;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16019;1968;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;50;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C31J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Ingeniería Industrial;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);31;INGENIERIA DE EJECUCION EN INDUSTRIA;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN INDUSTRIA;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16013;1972;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;80;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C32J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Ingeniería Mecánica;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);32;INGENIERIA DE EJECUCION EN MECANICA;Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN MECANICA;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16015;1973;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;55;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C34J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;Servicios;Protección del Medio Ambiente;Ingeniería en Medio Ambiente;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);34;INGENIERIA AMBIENTAL;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;INGENIERO AMBIENTAL;LICENCIADO EN CIENCIAS DE LA INGENIERIA;Pregrado;Profesional Con Licenciatura;16022;2007;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;45;0;;60000;0;;3456000;Vigente con estudiantes nuevos
OFE_2015;I71S1C35J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;Ingeniería en Refrigeración y Climatización;"Ingeniería, Industria y Construcción";Ingeniería y Profesiones Afines;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);35;"INGENIERIA DE EJECUCION EN CLIMATIZACION (CALEFACCION , REFRIGERACION Y AIRE ACONDICIONADO)";Presencial;Diurna;1;Plan Regular;NO APLICA;8;1;8;;;INGENIERO DE EJECUCION EN CLIMATIZACION;LICENCIADO EN INGENIERIA APLICADA;Pregrado;Profesional Con Licenciatura;16021;1992;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;50;0;;60000;0;;2908000;Vigente con estudiantes nuevos
OFE_2015;I71S1C36J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;"Ingeniería, Industria y Construcción";Industria y Producción;Ingeniería en Alimentos;"Ingeniería, Industria y Construcción";Industria y Producción;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);36;INGENIERIA DE ALIMENTOS;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;INGENIERO DE ALIMENTOS;LICENCIADO EN CIENCIAS DE LOS ALIMENTOS;Pregrado;Profesional Con Licenciatura;16067;1991;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;15;25;;0;10;0;35;0;;60000;0;;3456000;Vigente con estudiantes nuevos
OFE_2015;I71S1C37J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Básicas;Ciencias;Matemáticas y Estadísticas;Ingeniería en Matemática y Estadística;"Ciencias naturales, matemáticas y estadística";Matemáticas y Estadísticas;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);37;INGENIERIA ESTADISTICA;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;INGENIERO ESTADISTICO;LICENCIADO EN ESTADISTICA Y COMPUTACION;Pregrado;Profesional Con Licenciatura;16048;1994;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;40;0;;60000;0;;3134000;Vigente con estudiantes nuevos
OFE_2015;I71S1C38J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;Ciencias;Ciencias Físicas;Otras Ingenierías;"Ciencias naturales, matemáticas y estadística";Ciencias Físicas;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);38;INGENIERIA FISICA;Presencial;Diurna;1;Plan Regular;NO APLICA;12;1;12;;;INGENIERO FISICO;LICENCIADO EN FISICA APLICADA;Pregrado;Profesional Con Licenciatura;16042;1994;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;45;0;;60000;0;;3134000;Vigente con estudiantes nuevos
OFE_2015;I71S1C395J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Pedagogía en Educación Física;Educación;Educación;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);395;PEDAGOGIA EN EDUCACION FISICA / LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FISICA;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;PROFESOR DE ESTADO DE EDUCACION FISICA;LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FISICA;Pregrado;Profesional Con Licenciatura;16095;2012;Acreditada;Programa de Pedagogía elegible;;;;;;;;;;;;;;;10;40;10;20;;0;20;0;20;0;;60000;0;;2806000;Vigente con estudiantes nuevos
OFE_2015;I71S1C396J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Sociales;Humanidades y Artes;Humanidades;Historia;Artes y Humanidades;Humanidades;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);396;LICENCIATURA EN HISTORIA;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;NO APLICA;LICENCIADO EN HISTORIA / LICENCIADO EN HISTORIA CON MENCION EN GESTION Y ADMINISTRACION SOCIO-CULTURAL;Pregrado;Licenciatura No Conducente a Título;0;2004;No Acreditada;Programa de licenciatura elegible;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;20;0;;60000;0;;2182000;Vigente sin estudiantes nuevos
OFE_2015;I71S1C396J1V2;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Ciencias Sociales;Humanidades y Artes;Humanidades;Historia;Artes y Humanidades;Humanidades;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);396;LICENCIATURA EN HISTORIA;Presencial;Diurna;2;Plan Regular;NO APLICA;10;1;10;;;NO APLICA;LICENCIADO EN HISTORIA / LICENCIADO EN HISTORIA CON MENCION EN GESTION Y ADMINISTRACION SOCIO-CULTURAL;Pregrado;Licenciatura No Conducente a Título;16058;2004;No Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;25;10;;15;0;0;20;0;;60000;0;;2182000;Vigente con estudiantes nuevos
OFE_2015;I71S1C39J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Tecnología;Ciencias;Informática;Otros Profesionales de Tecnología;Tecnología de la Información y la Comunicación (TIC);Tecnología de la Información y la Comunicación (TIC);A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);39;LICENCIATURA EN CIENCIA DE LA COMPUTACION;Presencial;Diurna;1;Plan Regular;NO APLICA;10;1;10;;;ANALISTA EN COMPUTACION CIENTIFICA;BACHILLER EN CIENCIA DE LA COMPUTACION / LICENCIADO EN CIENCIAS DE LA COMPUTACION;Pregrado;Profesional Con Licenciatura;16046;1988;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;10;30;;0;10;0;35;0;;60000;0;;2125000;Vigente con estudiantes nuevos
OFE_2015;I71S1C3J1V1;Universidades;Universidades CRUCH;Universidades Estatales CRUCH;Metropolitana;SANTIAGO;ESTACION CENTRAL;Arte y Arquitectura;"Ingeniería, Industria y Construcción";Arquitectura y Construcción;Arquitectura;"Ingeniería, Industria y Construcción";Arquitectura y Construcción;A;71;UNIVERSIDAD DE SANTIAGO DE CHILE;1;CASA CENTRAL (SANTIAGO);3;ARQUITECTURA;Presencial;Diurna;1;Plan Regular;NO APLICA;12;2;12;;;ARQUITECTO;LICENCIADO EN ARQUITECTURA;Pregrado;Profesional Con Licenciatura;16070;1993;Acreditada;No Elegible;;;;;;;;;;;;;;;10;40;20;10;;20;20;0;60;0;;60000;0;;3393000;Vigente con estudiantes nuevos
